Severity	Code	Description	Project	File	Line	Suppression State	Details
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'InputBox' and no accessible extension method 'InputBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewEntityNode.cs	136		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'MsgBox' and no accessible extension method 'MsgBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewEntityNode.cs	163		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'InputBoxYesNo' and no accessible extension method 'InputBoxYesNo' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewJoinsNode.cs	188		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'MsgBox' and no accessible extension method 'MsgBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewJoinsNode.cs	211		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'InputBoxYesNo' and no accessible extension method 'InputBoxYesNo' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewNode.cs	253		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'MsgBox' and no accessible extension method 'MsgBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewNode.cs	303		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'MsgBox' and no accessible extension method 'MsgBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewNode.cs	314		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'MsgBox' and no accessible extension method 'MsgBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewNode.cs	322		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'InputBoxYesNo' and no accessible extension method 'InputBoxYesNo' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewNode.cs	354		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'InputBoxYesNo' and no accessible extension method 'InputBoxYesNo' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewNode.cs	396		
